sol,solHour,windcount,winddirection
492,0,374,0
492,1,567,22
492,10,18432,225
492,11,1207,247
492,12,5764,270
492,13,24129,292
492,14,1249,315
492,15,324,337
492,2,174,45
492,3,1119,67
492,5,1644,112
492,6,1072,135
492,7,5100,157
492,8,8633,180
492,9,9074,202
493,0,838,0
493,1,1020,22
493,10,19027,225
493,11,646,247
493,12,5404,270
493,13,23120,292
493,14,1284,315
493,15,723,337
493,2,197,45
493,3,1001,67
493,5,1815,112
493,6,1796,135
493,7,6538,157
493,8,8738,180
493,9,6061,202
494,0,764,0
494,1,1037,22
494,10,20589,225
494,11,832,247
494,12,5357,270
494,13,25197,292
494,14,1176,315
494,15,492,337
494,2,480,45
494,3,1191,67
494,5,1630,112
494,6,1166,135
494,7,5262,157
494,8,6236,180
494,9,7576,202
495,0,621,0
495,1,589,22
495,10,21848,225
495,11,1372,247
495,12,3134,270
495,13,22872,292
495,14,843,315
495,15,156,337
495,2,159,45
495,3,1135,67
495,5,2277,112
495,6,1894,135
495,7,6175,157
495,8,6650,180
495,9,7226,202
496,0,611,0
496,1,1196,22
496,10,25941,225
496,11,3705,247
496,12,7995,270
496,13,24811,292
496,14,1416,315
496,15,353,337
496,2,157,45
496,3,642,67
496,5,712,112
496,6,586,135
496,7,3302,157
496,8,6175,180
496,9,8129,202
497,0,450,0
497,1,576,22
497,10,25100,225
497,11,1307,247
497,12,5475,270
497,13,24137,292
497,14,1210,315
497,15,354,337
497,2,20,45
497,3,276,67
497,5,569,112
497,6,344,135
497,7,3796,157
497,8,7686,180
497,9,8016,202
